"data";"valor"
"01/03/2005";"16,63"
"01/04/2005";"16,89"
"01/05/2005";"17,09"
"01/06/2005";"17,20"
"01/07/2005";"17,32"
"01/08/2005";"17,53"
"01/09/2005";"17,94"
"01/10/2005";"18,18"
"01/11/2005";"18,25"
"01/12/2005";"18,30"
"01/01/2006";"18,36"
"01/02/2006";"18,57"
"01/03/2006";"18,89"
"01/04/2006";"19,18"
"01/05/2006";"19,20"
"01/06/2006";"19,16"
"01/07/2006";"19,08"
"01/08/2006";"19,20"
"01/09/2006";"19,13"
"01/10/2006";"19,06"
"01/11/2006";"18,88"
"01/12/2006";"19,10"
"01/01/2007";"19,01"
"01/02/2007";"18,87"
"01/03/2007";"18,53"
"01/04/2007";"18,37"
"01/05/2007";"18,18"
"01/06/2007";"18,49"
"01/07/2007";"18,80"
"01/08/2007";"18,96"
"01/09/2007";"18,91"
"01/10/2007";"18,89"
"01/11/2007";"19,03"
"01/12/2007";"18,97"
"01/01/2008";"19,22"
"01/02/2008";"19,42"
"01/03/2008";"19,81"
"01/04/2008";"19,99"
"01/05/2008";"20,03"
"01/06/2008";"20,01"
"01/07/2008";"20,01"
"01/08/2008";"20,10"
"01/09/2008";"20,20"
"01/10/2008";"20,30"
"01/11/2008";"20,30"
"01/12/2008";"20,39"
"01/01/2009";"20,40"
"01/02/2009";"20,49"
"01/03/2009";"20,57"
"01/04/2009";"20,66"
"01/05/2009";"20,86"
"01/06/2009";"21,20"
"01/07/2009";"21,27"
"01/08/2009";"21,34"
"01/09/2009";"21,44"
"01/10/2009";"21,59"
"01/11/2009";"21,64"
"01/12/2009";"21,60"
"01/01/2010";"21,70"
"01/02/2010";"21,65"
"01/03/2010";"21,73"
"01/04/2010";"21,89"
"01/05/2010";"22,12"
"01/06/2010";"22,41"
"01/07/2010";"22,41"
"01/08/2010";"22,42"
"01/09/2010";"22,50"
"01/10/2010";"22,46"
"01/11/2010";"22,83"
"01/12/2010";"23,21"
"01/01/2011";"23,43"
"01/02/2011";"23,21"
"01/03/2011";"23,09"
"01/04/2011";"22,86"
"01/05/2011";"22,58"
"01/06/2011";"22,35"
"01/07/2011";"22,21"
"01/08/2011";"22,36"
"01/09/2011";"22,78"
"01/10/2011";"23,22"
"01/11/2011";"23,21"
"01/12/2011";"23,20"
"01/01/2012";"23,15"
"01/02/2012";"23,27"
"01/03/2012";"23,34"
"01/04/2012";"23,24"
"01/05/2012";"23,20"
"01/06/2012";"22,99"
"01/07/2012";"22,65"
"01/08/2012";"22,37"
"01/09/2012";"22,13"
"01/10/2012";"22,03"
"01/11/2012";"22,09"
"01/12/2012";"22,11"
"01/01/2013";"22,15"
"01/02/2013";"22,08"
"01/03/2013";"21,67"
"01/04/2013";"21,54"
"01/05/2013";"21,24"
"01/06/2013";"21,10"
"01/07/2013";"21,06"
"01/08/2013";"21,14"
"01/09/2013";"21,21"
"01/10/2013";"21,17"
"01/11/2013";"21,25"
"01/12/2013";"21,44"
"01/01/2014";"21,38"
"01/02/2014";"21,31"
"01/03/2014";"21,18"
"01/04/2014";"21,24"
"01/05/2014";"21,31"
"01/06/2014";"21,38"
"01/07/2014";"21,43"
"01/08/2014";"21,31"
"01/09/2014";"21,32"
"01/10/2014";"21,35"
"01/11/2014";"21,63"
"01/12/2014";"21,92"
"01/01/2015";"22,31"
"01/02/2015";"22,45"
"01/03/2015";"22,32"
"01/04/2015";"22,52"
"01/05/2015";"22,50"
"01/06/2015";"22,56"
"01/07/2015";"22,60"
"01/08/2015";"22,67"
"01/09/2015";"22,98"
"01/10/2015";"22,56"
"01/11/2015";"22,05"
"01/12/2015";"21,28"
"01/01/2016";"21,54"
"01/02/2016";"21,59"
"01/03/2016";"21,83"
"01/04/2016";"21,82"
"01/05/2016";"22,11"
"01/06/2016";"22,11"
"01/07/2016";"21,99"
"01/08/2016";"21,98"
"01/09/2016";"22,10"
"01/10/2016";"22,01"
"01/11/2016";"21,80"
"01/12/2016";"21,39"
"01/01/2017";"21,30"
"01/02/2017";"21,17"
"01/03/2017";"21,05"
"01/04/2017";"20,67"
"01/05/2017";"20,31"
"01/06/2017";"20,32"
"01/07/2017";"20,45"
"01/08/2017";"20,66"
"01/09/2017";"20,80"
"01/10/2017";"20,50"
"01/11/2017";"20,38"
"01/12/2017";"20,09"
"01/01/2018";"20,05"
"01/02/2018";"20,32"
"01/03/2018";"20,46"
"01/04/2018";"20,66"
"01/05/2018";"20,85"
"01/06/2018";"20,91"
"01/07/2018";"20,65"
"01/08/2018";"20,40"
"01/09/2018";"20,32"
"01/10/2018";"20,29"
"01/11/2018";"20,52"
"01/12/2018";"20,80"
"01/01/2019";"21,01"
"01/02/2019";"21,00"
"01/03/2019";"21,10"
"01/04/2019";"21,62"
"01/05/2019";"22,00"
"01/06/2019";"22,98"
"01/07/2019";"22,80"
"01/08/2019";"22,87"
"01/09/2019";"22,28"
"01/10/2019";"21,96"
"01/11/2019";"21,44"
"01/12/2019";"21,12"
"01/01/2020";"20,99"
"01/02/2020";"21,02"
"01/03/2020";"21,92"
"01/04/2020";"21,37"
"01/05/2020";"19,94"
"01/06/2020";"18,61"
"01/07/2020";"18,27"
"01/08/2020";"18,25"
"01/09/2020";"18,40"
"01/10/2020";"18,87"
"01/11/2020";"19,66"
"01/12/2020";"20,50"
"01/01/2021";"20,68"
"01/02/2021";"20,46"
"01/03/2021";"20,75"
"01/04/2021";"20,77"
"01/05/2021";"21,09"
"01/06/2021";"21,28"
"01/07/2021";"21,64"
"01/08/2021";"22,07"
"01/09/2021";"22,80"
"01/10/2021";"23,26"
"01/11/2021";"23,46"
"01/12/2021";"23,69"
"01/01/2022";"24,11"
